Time,ARIMA,SARIMA,ETS,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 03:17:30,1074.1715337885591,726.1434473113102,-903.533324016992,2275.4778,2092.203,2158.9172,1968.4769,2150.2832,1300.8590814306956,1300.0
2023-09-08 03:17:35,1016.1006728831009,555.2407692212962,-1479.1767179516094,2170.0906,2056.856,1855.2198,2038.0885,2156.4558,1088.402188346305,1030.0
2023-09-08 03:17:40,909.8239813987389,918.704679327342,944.567406433012,968.9792,1004.4308,1068.0641,924.993,1157.909,937.5954939426188,656.0
2023-09-08 03:17:45,779.2170503927787,815.0094594130039,789.1488912413455,1017.2303,854.4675,1091.3146,884.63184,953.0382,898.9716073932385,1240.0
2023-09-08 03:17:50,683.6949219182542,767.488533622017,572.5348872619867,1120.6606,1458.2225,1248.0619,1099.0585,926.23083,944.8041107103368,746.0
2023-09-08 03:17:55,613.8328023659069,782.9227373253984,325.381615025005,1373.8081,1523.5995,1675.0781,1362.0186,875.99084,1017.9433583141584,1290.0
2023-09-08 03:18:00,562.7376705227326,869.5768754395688,147.39889349555608,1569.1155,1586.7305,1851.5092,1633.9155,1175.6073,1069.4667676891706,579.0
2023-09-08 03:18:05,1095.7461971823395,1114.2673537042117,1241.8744734231982,1004.76385,1002.23456,1048.1774,1073.9104,1493.6129,1068.986645418644,1530.0
2023-09-08 03:18:10,1114.9638145554231,1140.2292392222123,1450.0751216962003,1051.897,1313.3607,973.93365,1076.6516,977.0835,1027.087338850457,955.0
2023-09-08 03:18:15,1129.0172709896372,1089.0104590067665,1561.808913431778,1084.3608,1442.9387,969.4862,1154.0376,1111.0074,1018.482598302768,1090.0
2023-09-08 03:18:20,1139.2942805644543,984.1279735793186,1536.2145104810522,1086.7498,1349.1456,1101.8468,1330.8469,1067.7909,1136.9104199302249,965.0
2023-09-08 03:18:25,1146.809650629839,903.0016860071644,1448.8279621177146,1124.6079,1853.9618,1320.3405,1483.9785,1699.5809,1381.210124291141,1030.0
2023-09-08 03:18:30,1629.6780678725963,1664.889344653454,1579.0206570521805,1668.3721,1666.4845,1418.8757,1685.0641,1101.0994,1601.0949375016305,1500.0
2023-09-08 03:18:35,1811.4151591797029,1928.963431762844,1930.0276484934395,1730.3887,1774.5989,1459.9001,1892.3195,819.1581,1629.012396855535,3100.0
2023-09-08 03:18:40,1944.343253970087,2135.6120377106363,2347.0116480807887,1535.9905,1591.7914,1412.965,1830.9543,1322.9813,1490.0313644579542,600.0
2023-09-08 03:18:45,2041.5709484242816,2253.808671802746,2753.4279980966626,1457.4463,1516.5111,1297.4114,1784.9125,1311.8953,1394.6588601447577,783.0
2023-09-08 03:18:50,2112.686272718857,2296.2357171262965,3098.6381835641164,1372.0037,1567.3472,1206.3082,1577.558,1500.5051,1484.0336699116897,1850.0
