Time,ARIMA,SARIMA,ETS,GP,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 04:09:20,5303.677048583374,5293.130311266775,4450.755918899613,115.57997090583848,5696.9814453125,6435.44873046875,5234.6826171875,5420.87890625,5132.34716796875,5629.494235947925,4980.0
2023-09-08 04:09:25,6005.464198827538,5904.421474609532,4239.721508361408,115.57966749028132,6634.03515625,6881.86865234375,6073.02392578125,6657.64892578125,7154.3046875,6888.336396648972,6850.0
2023-09-08 04:09:30,6502.976186285671,6193.867140144439,4393.128469827598,115.57936378684198,6851.07421875,6795.71240234375,6259.408203125,7061.66455078125,7454.20263671875,7369.384051217818,8690.0
2023-09-08 04:09:35,6855.673122355855,6308.878956264763,4428.142947397393,115.57905979552255,6377.9345703125,6204.091796875,6013.88525390625,6800.8232421875,6628.583984375,6756.601703049695,7670.0
2023-09-08 04:09:40,7105.707557403036,6410.229985732043,4817.643383009706,115.57875551632516,5688.0400390625,6108.115234375,5593.1640625,6227.39111328125,6137.40673828125,5536.839366527097,4650.0
2023-09-08 04:09:45,4428.605766163494,4471.666571687052,4760.0659581763575,115.88804709166229,4640.10205078125,4201.388671875,4348.52490234375,4561.27587890625,4339.486328125,4644.9958375795,2870.0
2023-09-08 04:09:50,3642.538781115644,3768.5243448706974,4325.54716733293,115.88774225069037,4565.46533203125,4273.73046875,4185.26904296875,4464.65673828125,4311.314453125,4684.576720015721,6820.0
2023-09-08 04:09:55,3084.983672897044,3243.866212730088,4160.134437639616,115.8874371210734,5137.857421875,4856.85009765625,4568.36767578125,4924.2119140625,4868.0546875,5502.879872926506,2620.0
2023-09-08 04:10:00,2689.511398124263,2803.717623312933,4235.97623853607,115.88713170281352,5957.49072265625,4928.59619140625,5326.03857421875,5457.033203125,5525.5185546875,6431.186554843667,9610.0
2023-09-08 04:10:05,2409.0040226046417,2483.536903764795,4406.862721365343,115.88682599591336,6238.56787109375,5731.2490234375,5946.7802734375,5711.2919921875,5758.89111328125,6890.31939377954,6150.0
2023-09-08 04:10:10,7003.257752305043,7080.559005272859,7087.041660415573,116.1566404670423,6706.25390625,6971.41796875,7254.513671875,6541.7578125,6390.37255859375,6815.324493500069,7290.0
2023-09-08 04:10:15,7083.292048822111,7349.904987635664,6629.499742478221,116.1563341952928,6505.42919921875,6761.90478515625,6784.3369140625,6174.79833984375,5890.09130859375,6504.29054864974,4250.0
2023-09-08 04:10:20,7140.008727748656,7583.78712970013,5461.302450719432,116.1560276342344,6271.392578125,6053.880859375,6095.53857421875,5687.3310546875,6150.32080078125,6114.809633647381,7570.0
2023-09-08 04:10:25,7180.201267802665,7655.414958454492,3938.916953565754,116.1557207838694,5967.232421875,5853.44775390625,5275.12744140625,5655.2626953125,5819.556640625,5473.440264150441,4640.0
2023-09-08 04:10:30,7208.6838994829395,7546.757753270615,2780.914593731921,116.15541364419994,5678.9619140625,5259.4443359375,5244.5283203125,5554.34033203125,6584.6103515625,4440.961852164257,6710.0
2023-09-08 04:10:35,3397.361940560125,3369.429789758837,3302.1369466057204,116.43690482038352,3234.63037109375,2904.85546875,3464.07666015625,3233.96630859375,4015.844970703125,3347.691597419944,2300.0
2023-09-08 04:10:40,2657.2336990616527,2618.7528158513364,2514.0001729867186,116.43659711484,2801.163818359375,3027.07568359375,3080.11083984375,2808.9755859375,3725.39501953125,2884.31317266806,2750.0
