Time,ARIMA,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:49:45,4016.439223998857,4556.189,4916.2075,4118.1426,4444.125,5045.26,4162.2593515010885,3130.0
2023-09-08 02:49:50,4398.161522410755,5249.1616,5245.639,5113.803,5238.37,6047.7173,4604.198261506668,5620.0
2023-09-08 02:49:55,4670.665799369504,5808.243,5426.7446,5577.709,5789.333,5639.1924,4443.014837766911,5510.0
2023-09-08 02:50:00,4865.2014114355325,5903.229,5534.1924,5738.344,5802.8213,6073.3623,4027.231826659817,4100.0
2023-09-08 02:50:05,5004.076678951547,5853.0854,5532.336,5456.185,5616.676,5925.0195,4072.662865464514,1640.0
2023-09-08 02:50:10,4460.594124410479,5035.421,4240.2783,4687.616,5293.176,3579.6155,4841.388810393619,3870.0
2023-09-08 02:50:15,4737.315844308431,5588.1206,5111.5693,5428.2915,6026.9575,4081.9646,5786.799876734939,8700.0
2023-09-08 02:50:20,4934.708832105651,5929.772,5320.036,5788.415,6154.18,5045.104,6193.275276072578,7400.0
2023-09-08 02:50:25,5075.514518214722,5928.843,5793.2876,5970.341,6185.439,5030.458,5988.522971437254,3210.0
2023-09-08 02:50:30,5175.954971859476,5715.6553,5907.276,5620.6016,5897.364,5149.0166,5680.820172238249,6780.0
2023-09-08 02:50:35,5509.920724066948,5700.487,5979.7686,5603.0825,5926.457,5983.44,5649.734008250956,4580.0
2023-09-08 02:50:40,5388.037472775085,5892.8643,5798.616,5324.015,5882.617,5000.635,5752.24038381181,5220.0
2023-09-08 02:50:45,5301.111932029132,5924.168,5624.5786,5560.6396,5670.8877,5575.429,5634.5996072809385,8850.0
2023-09-08 02:50:50,5239.117773242848,5906.7646,5790.346,5525.3525,5634.8506,5056.329,5324.071390859442,4250.0
2023-09-08 02:50:55,5194.904349999945,5853.6323,5785.706,5356.002,5615.514,4796.0293,5337.3774004861125,3930.0
2023-09-08 02:51:00,5632.335006572572,5739.2427,5157.994,5256.536,6172.6826,5028.3257,6056.672246324602,6140.0
2023-09-08 02:51:05,5842.618988434718,6029.3174,5453.6445,5554.2246,6533.458,5975.6626,7119.420294858816,4740.0
2023-09-08 02:51:10,5992.536644787127,6070.6997,5354.1216,5991.8223,6511.909,7052.9536,7706.355471212187,13700.0
2023-09-08 02:51:15,6099.417366215226,5868.956,5615.0977,6113.6924,6339.4688,6730.552,7504.905774962909,5440.0
2023-09-08 02:51:20,6175.615786674372,5552.508,5892.972,6004.254,5965.4443,7340.594,7096.128317964384,6320.0
2023-09-08 02:51:25,6862.797949539421,6985.3003,6408.498,6378.814,6817.375,5518.0503,7153.160538737792,2560.0
